23/Apr/2003,129
24/Apr/2003,123
25/Apr/2003,110
26/Apr/2003,107
27/Apr/2003,110
28/Apr/2003,125
29/Apr/2003,109
30/Apr/2003,158
01/May/2003,235
02/May/2003,448
03/May/2003,599
04/May/2003,1522
05/May/2003,2505
06/May/2003,2355
07/May/2003,1527
08/May/2003,1834
09/May/2003,1212
10/May/2003,896
11/May/2003,742
12/May/2003,769
13/May/2003,677
14/May/2003,864
15/May/2003,700
16/May/2003,635
17/May/2003,519
18/May/2003,515
19/May/2003,729
20/May/2003,851
21/May/2003,1155
22/May/2003,886
23/May/2003,798
24/May/2003,613
25/May/2003,564
26/May/2003,681
27/May/2003,630
28/May/2003,580
29/May/2003,559
